id,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,home_link
28992,LFQY,small_airport,Saverne Steinbourg Airport,630,EU,FR,FR-A,Charleville-Mezieres,
28993,LFQZ,small_airport,Dieuze Guéblange Airport,722,EU,FR,FR-M,,
28994,LFRA,closed,Angers Avrille Airport,187,EU,FR,FR-R,Angers,
4206,LFRB,medium_airport,Brest Bretagne Airport,325,EU,FR,FR-E,Brest/Guipavas,
4207,LFRC,medium_airport,Cherbourg-Maupertus Airport,459,EU,FR,FR-P,Cherbourg/Maupertus,
4208,LFRD,medium_airport,Dinard-Pleurtuit-Saint-Malo Airport,219,EU,FR,FR-E,Dinard/Pleurtuit/Saint-Malo,
4209,LFRE,medium_airport,La Baule-Escoublac Airport,105,EU,FR,FR-R,La Baule-Escoublac,
4210,LFRF,medium_airport,Granville Airport,45,EU,FR,FR-P,Granville,
4211,LFRG,medium_airport,Deauville-Saint-Gatien Airport,479,EU,FR,FR-P,Deauville,
4212,LFRH,medium_airport,Lorient South Brittany (Bretagne Sud) Airport,160,EU,FR,FR-E,Lorient/Lann/Bihoué,
4213,LFRI,medium_airport,La Roche-sur-Yon Airport,299,EU,FR,FR-R,La Roche-sur-Yon/Les Ajoncs,
4214,LFRJ,medium_airport,Landivisiau Air Base,348,EU,FR,FR-E,Landivisiau,
4215,LFRK,medium_airport,Caen-Carpiquet Airport,256,EU,FR,FR-P,Caen/Carpiquet,
4216,LFRL,medium_airport,Lanvéoc-Poulmic Air Base,287,EU,FR,FR-E,Lanvéoc/Poulmic,
4217,LFRM,medium_airport,Le Mans-Arnage Airport,194,EU,FR,FR-R,Le Mans/Arnage,
4218,LFRN,medium_airport,Rennes-Saint-Jacques Airport,124,EU,FR,FR-E,Rennes/Saint-Jacques,http://www.rennes.aeroport.fr/
4219,LFRO,medium_airport,Lannion-Côte de Granit Airport,290,EU,FR,FR-E,Lannion,http://www.lannion.aeroport.fr
28995,LFRP,small_airport,Ploërmel Loyat Airport,236,EU,FR,FR-E,Rennes,
4220,LFRQ,medium_airport,Quimper-Cornouaille Airport,297,EU,FR,FR-E,Quimper/Pluguffan,
4221,LFRS,medium_airport,Nantes Atlantique Airport,90,EU,FR,FR-R,Nantes,
4222,LFRT,medium_airport,Saint-Brieuc-Armor Airport,453,EU,FR,FR-E,Saint-Brieuc/Armor,
4223,LFRU,medium_airport,Morlaix-Ploujean Airport,272,EU,FR,FR-E,Morlaix/Ploujean,
4224,LFRV,medium_airport,Vannes-Meucon Airport,446,EU,FR,FR-E,Vannes/Meucon,
28996,LFRW,small_airport,Avranches Le Val St Père Airport,26,EU,FR,FR-P,Avranches,
4225,LFRZ,medium_airport,Saint-Nazaire-Montoir Airport,13,EU,FR,FR-R,Saint-Nazaire/Montoir,
28997,LFSA,small_airport,Besançon–Thise Airport,807,EU,FR,FR-I,St Nazaire,
4226,LFSB,large_airport,EuroAirport Basel-Mulhouse-Freiburg Airport,885,EU,FR,FR-A,Bâle/Mulhouse,http://www.euroairport.com/
4227,LFSC,closed,Colmar-Meyenheim Air Base,693,EU,FR,FR-A,Colmar/Meyenheim,
4228,LFSD,medium_airport,Dijon-Bourgogne Airport,726,EU,FR,FR-D,Dijon/Longvic,http://www.aeroport.dijon.cci.fr/
28998,LFSE,small_airport,Épinal Dogneville Airport,1040,EU,FR,FR-M,Dijon,
4229,LFSF,closed,Metz-Frescaty (BA 128) Air Base,629,EU,FR,FR-M,Metz/Frescaty,
4230,LFSG,medium_airport,Épinal-Mirecourt Airport,1084,EU,FR,FR-M,Épinal/Mirecourt,http://www.epinal-mirecourt.aeroport.fr
4231,LFSH,small_airport,Haguenau Airport,491,EU,FR,FR-A,Haguenau,
